"Fullname","PowerShell51","PowerShell61","PSStandard5","ExclusionReason"
"Microsoft.PowerShell.Commands.StartJobCommand","True","True","True",""
"Microsoft.PowerShell.Commands.StopJobCommand","True","True","True",""
"Microsoft.PowerShell.Commands.SuspendJobCommand","True","True","True",""
"Microsoft.PowerShell.Commands.TestModuleManifestCommand","True","True","True",""
"Microsoft.PowerShell.Commands.TestPSSessionConfigurationFileCommand","True","False","False",""
"Microsoft.PowerShell.Commands.UnregisterPSSessionConfigurationCommand","True","False","False",""
"Microsoft.PowerShell.Commands.UpdatableHelpCommandBase","True","True","True",""
"Microsoft.PowerShell.Commands.UpdateHelpCommand","True","True","True",""
"Microsoft.PowerShell.Commands.UpdateHelpScope","False","True","False",""
"Microsoft.PowerShell.Commands.VariableProvider","True","True","True",""
"Microsoft.PowerShell.Commands.WaitJobCommand","True","True","True",""
"Microsoft.PowerShell.Commands.WhereObjectCommand","True","True","True",""
"Microsoft.PowerShell.Commands.WSManConfigurationOption","True","True","True",""
"Microsoft.PowerShell.CoreClr.Stubs.AuthenticationLevel","False","True","False",""
"Microsoft.PowerShell.CoreClr.Stubs.ImpersonationLevel","False","True","False",""
"Microsoft.PowerShell.DeserializingTypeConverter","True","True","True",""
"Microsoft.PowerShell.DesiredStateConfiguration.ArgumentToConfigurationDataTransformationAttribute","True","True","False","Dsc not core"
"Microsoft.PowerShell.DesiredStateConfiguration.Internal.DscClassCache","True","True","False","Dsc not core"
"Microsoft.PowerShell.DesiredStateConfiguration.Internal.DscRemoteOperationsClass","True","True","False","Dsc not core"
"Microsoft.PowerShell.ExecutionPolicy","True","True","True",""
"Microsoft.PowerShell.ExecutionPolicyScope","True","True","True",""
"Microsoft.PowerShell.ProcessCodeMethods","False","True","False",""
"Microsoft.PowerShell.PSAuthorizationManager","True","True","True",""
"Microsoft.PowerShell.PSCorePSSnapIn","True","False","False",""
"Microsoft.PowerShell.Telemetry.Internal.TelemetryAPI","True","False","False",""
"Microsoft.PowerShell.ToStringCodeMethods","True","True","True",""
"System.Management.Automation.ActionPreference","True","True","True",""
"System.Management.Automation.ActionPreferenceStopException","True","True","True",""
"System.Management.Automation.AliasAttribute","True","True","True",""
"System.Management.Automation.AliasInfo","True","True","True",""
"System.Management.Automation.Alignment","True","True","True",""
"System.Management.Automation.AllowEmptyCollectionAttribute","True","True","True",""
"System.Management.Automation.AllowEmptyStringAttribute","True","True","True",""
"System.Management.Automation.AllowNullAttribute","True","True","True",""
"System.Management.Automation.ApplicationFailedException","True","True","True",""
"System.Management.Automation.ApplicationInfo","True","True","True",""
"System.Management.Automation.ArgumentCompleterAttribute","True","True","True",""
"System.Management.Automation.ArgumentCompletionsAttribute","False","True","False",""
"System.Management.Automation.ArgumentTransformationAttribute","True","True","True",""
"System.Management.Automation.ArgumentTransformationMetadataException","True","True","True",""
"System.Management.Automation.AuthorizationManager","True","True","True",""
"System.Management.Automation.BackgroundDispatcher","True","False","False",""
"System.Management.Automation.BreakException","True","True","True",""
"System.Management.Automation.Breakpoint","True","True","True",""
"System.Management.Automation.BreakpointUpdatedEventArgs","True","True","True",""
"System.Management.Automation.BreakpointUpdateType","True","True","True",""
"System.Management.Automation.CachedValidValuesGeneratorBase","False","True","False",""
"System.Management.Automation.CallStackFrame","True","True","True",""
"System.Management.Automation.CatalogInformation","True","False","False",""
"System.Management.Automation.CatalogValidationStatus","True","False","False",""
"System.Management.Automation.ChildItemCmdletProviderIntrinsics","True","True","True",""
"System.Management.Automation.Cmdlet","True","True","True",""
"System.Management.Automation.CmdletAttribute","True","True","True",""
"System.Management.Automation.CmdletBindingAttribute","True","True","True",""
